都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
130001,0000000011,東京都,,トーキョーアーツアンドスペース本郷,トーキョーアーツアンドスペースホンゴウ,,0802a,東京都文京区本郷2-4-16,,35.702991,139.759239,03-5689-5331,,,,火水木金土日,11:00,19:00,入館は閉館30分前まで。休館日：月曜日（祝日の場合は翌平日））、展示替期間、年末年始 ,国内外の若手芸術家の育成を目的とし、作品の展示、芸術家同士及び作家と都民との交流、新進若手アーティストが滞在・交流するレジデンス事業を行う施設。,,http://www.tokyoartsandspace.jp/,,113-0033 ,御茶ノ水駅（JR中央線･総武線：御茶ノ水橋口/東京メトロ丸の内線：1番出口） 、水道橋駅（都営地下鉄三田線：A1出口/JR総武線：東口）、本郷三丁目駅 (都営地下鉄大江戸線：3番出口/東京メトロ丸の内線：1番出口)各駅より徒歩7分,0,,1,,展覧会・公演ごとに異なる。,0,,0,,,,,2019-03-28
130001,0000000012,東京都,,トーキョーアーツアンドスペースレジデンシー,トーキョーアーツアンドスペースレジデンシー,,0802a,墨田区立川2-14-7,,35.69209,139.802025,03-5625-4433,,,,,,,オープン・スタジオ、レクチャー等開催時のみ一般開館,国内外の若手芸術家の育成を目的とし、作品の展示、芸術家同士及び作家と都民との交流、新進若手アーティストが滞在・交流するレジデンス事業を行う施設。,,http://www.tokyoartsandspace.jp/,,130-0023,菊川駅（都営地下鉄新宿線）A1出口より徒歩9分、森下駅（都営地下鉄新宿線・大江戸線）A5出口より徒歩11分、両国駅（JR総武線：東口/都営地下鉄大江戸線：A5出口）より徒歩15分,0,,1,,展覧会・公演ごとに異なる。,0,,0,,,,,2019-03-28
130001,0000000013,東京都,,お台場海浜公園,オダイバカイヒンコウエン,,1003a,東京都港区台場一丁目４番地,,35.630845,139.776087,03-5531-0852,,,,月火水木金土日,0:00,0:00,,第三台場（砲台跡）に隣接し、静かな入江を囲んでいる公園です。砂浜遊び、ウィンドサーフィンなどが楽しめ、港を行きかう船やレインボーブリッジ越しに見える対岸の街並み、そして沈みゆく太陽の美しさは格別です。,,http://www.tptc.co.jp/park/01_02,,135-0091,新交通ゆりかもめ「お台場佳品公園」または「台場」下車徒歩４分／りんかい線「東京テレポート」下車徒歩７分／海上バス日の出桟橋（JR浜松町駅徒歩８分）から「お台場海浜公園」下船（所要時間約0分）／都バス都営地下鉄・東京メトロ「門前仲町駅」から海01継投で「お台場海浜公園駅」または「台場駅」下車徒歩４分,1,有料,0,,一部有料施設あり,0,,0,,,,,2019-03-28
130001,0000000014,東京都,,シンボルプロムナード公園,シンボルプロムナードコウエン,,1003a,東京都港区台場一丁目・二丁目、江東区青海一丁目・二丁目、有明二丁目・三丁目,,35.623908,139.77443,03-5531-0852,,,,月火水木金土日,0:00,0:00,,青海、有明、台場の各地区を結んで、臨海副都心内のさまざまな施設をつないでいる遊歩道の公園です。夕暮れ時はエリアごとのライトアップがロマンチックにともります。,,http://www.tptc.co.jp/park_01_04,,135-0091,新交通ゆりかもめ「お台場海浜公園」～「有明」の各駅下車／りんかい線「東京テレポート」「国際展示場」下車／海上バス日の出桟橋（JR浜松町駅徒歩８分）から「パレットタウン」「東京ビッグサイト」下船,1,有料,0,,,0,,0,,,,,2019-03-28
130001,0000000015,東京都,,東八潮緑道公園,ヒガシヤシオリョクドウコウエン,,1003a,東京都品川区東八潮,,35.619315,139.771579,03-5500-2455,,,,月火水木金土日,0:00,0:00,,潮風公園と青海北ふ頭公園を結ぶ公園です。夜景がきれいです。,,http://www.tptc.co.jp/park/01_05,,135-0092,新交通ゆりかもめ「船の科学館駅」下車徒歩3分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000016,東京都,,青海北ふ頭公園,アオミキタフトウコウエン,,1003a,東京都江東区青海二丁目,,35.618915,139.773785,03-5500-2455,,,,月火水木金土日,0:00,0:00,,青海南ふ頭公園と東八潮緑道公園を結ぶ公園です。青海客船ターミナルに隣接しています。,,http://www.tptc.co.jp/park/01_06,,135-0064,新交通ゆりかもめ「船の科学館駅」下車徒歩3分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000017,東京都,,青海南ふ頭公園,アオミミナミフトウコウエン,,1003a,東京都江東区青海二丁目,,35.615663,139.776117,03-5500-2455,,,,月火水木金土日,0:00,0:00,,陸側・海側で特徴が異なる公園。陸側は日本庭園風、航路沿いの海側はコンテナバースとすぐ隣り合わせになっています。,,http://www.tptc.co.jp/park/01_09,,135-0064,新交通ゆりかもめ「テレコムセンター駅」下車徒歩4分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000018,東京都,,暁ふ頭公園,アカツキフトウコウエン,,1003a,東京都江東区青海三丁目、四丁目,,35.623766,139.769915,03-5500-2455,,,,月火水木金土日,0:00,0:00,,海にのぞむ広場でバーベキューが楽しめます。,,http://www.tptc.co.jp/park/01_10,,135-0064 ,新交通ゆりかもめ「テレコムセンター駅」下車徒歩20分,1,無料,0,,,0,,0,,,,,2019-03-28
130001,0000000019,東京都,,青海緑道公園,アオミリョクドウコウエン,,1003a,東京都江東区青海四丁目,,35.621368,139.77979,03-5500-2455,,,,月火水木金土日,0:00,0:00,,付近で働く人々の憩いの場です。,,http://www.tptc.co.jp/park/01_08,,135-0064,新交通ゆりかもめ「テレコムセンター駅」下車徒歩5分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000020,東京都,,青海中央ふ頭公園,アオミチュウオウフトウコウエン,,1003a,東京都江東区青海四丁目,,35.620754,139.780239,03-5500-2455,,,,月火水木金土日,0:00,0:00,,緑に囲まれた野球広場があります。申し込み等不要、先着順でご利用ください。,,http://www.tptc.co.jp/park/01_07,,135-0064,新交通ゆりかもめ「テレコムセンター駅」下車徒歩6分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000021,東京都,,水の広場公園,ミズノヒロバコウエン,,1003a,東京都江東区青海一丁目、青海二丁目、有明三丁目,,35.625052,139.782704,03-5500-2455,,,,月火水木金土日,0:00,0:00,,３つのエリアに分かれ、海風を感じながら会場バスを眺めることができます。,,http://www.tptc.co.jp/park/02_04,,135-0064 ,新交通ゆりかもめ「青海駅」下車徒歩1分、「国際展示場正門駅」下車徒歩1分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000022,東京都,,有明西ふ頭公園,アリアケニシフトウコウエン,,1003a,東京都江東区有明三丁目,,35.627139,139.794619,03-5500-2455,,,,月火水木金土日,0:00,0:00,,東京ビッグサイトや海上バスターミナルの隣の公園です。接続する多目的ふ頭には、帆船などが停泊することもあります。,,http://www.tptc.co.jp/park/02_05,,135-0063,新交通ゆりかもめ「国際展示場正門駅前」下車徒歩5分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000023,東京都,,有明北緑道公園,アリアケキタリョクドウコウエン,,1003a,東京都江東区有明一丁目、二丁目,,35.629272,139.790771,03-5500-2455,,,,月火水木金土日,0:00,0:00,,運河の水面を眺めながら釣りを楽しめます。,,http://www.tptc.co.jp/park/02_06,,135-0063 ,新交通ゆりかもめ「お台場海浜公園駅」下車徒歩9分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000024,東京都,,有明テニスの森公園,アリアケテニスノモリコウエン,,1003a,東京都江東区有明二丁目,,35.635649,139.787027,03-3529-3301,,,,月火水木金土日,0:00,0:00,,改修工事に伴い休館中。ただし、平成30年9月まで屋外コートの一部を継続運営。（オリンピック・パラリンピック準備局の所管です。）,,http://www.tptc.co.jp/park/02_03,,135-0063,新交通ゆりかもめ「有明駅」下車徒歩5分または「有明テニスの森公園」下車徒歩6分、りんかい線「国際展示場駅」下車徒歩4分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000025,東京都,,春海橋公園,ハルミバシコウエン,,1003a,東京都江東区豊洲二丁目,,35.653477,139.792089,03-5569-8672,,,,月火水木金土日,0:00,0:00,,新しいまちをつなぐ海辺のテラスから東京港を眺めることができます。,,http://www.tptc.co.jp/park/02_02,,135-0061,有楽町線・新交通ゆりかもめ「豊洲駅」下車徒歩3分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000026,東京都,,葛西海浜公園,カサイカイヒンコウエン,,1003a,東京都江戸川区臨海町六丁目地先,,35.640708,139.855249,03-5696-4741,,,,月火水木金土日,0:00,0:00,,葛西臨海公園から渚橋を渡れば、広い砂浜の西なぎさ。潮干狩りのシーズンには多くの人でにぎわいます。また、東なぎさは環境保全のためのゾーンとなっています。,,http://www.tokyo-park.or.jp/oark/format/index027.html,,134-0086,JR京葉線「葛西臨海公園駅」下車徒歩11分、都バス東西線「葛西駅」から臨海28甲系統「西葛西駅」から西葛20乙系統「葛西臨海公園駅」下車徒歩12分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000027,東京都,,新木場公園,シンキバコウエン,,1003a,東京都江東区新木場二丁目,,35.642078,139.823485,03-5569-8672,,,,月火水木金土日,0:00,0:00,,芝生の上でお弁当をひろげ、海を眺めながらピクニック気分が楽しめます。バーベキューの予約に関してはホームページをご覧ください。,,http://www.tptc.co.jp/park/03_04,,136-0082,JR京葉線・有楽町線・りんかい線「新木場駅」下車徒歩7分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000028,東京都,,辰巳の森緑道公園,タツミノモリリョクドウコウエン,,1003a,東京都江東区辰巳一丁目・二丁目,,35.64575,139.814328,03-5569-8672,,,,月火水木金土日,0:00,0:00,,芝生広場と緑の並木が広がります。桜の木が続くお花見名所の一つでドラマ等のロケにも使用されています。,,http://www.tptc.co.jp/park/03_02,,135-0053,有楽町線「辰巳駅」下車すぐ,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000029,東京都,,夢の島緑道公園,ユメノシマリョクドウコウエン,,1003a,東京都江東区夢の島一丁目、二丁目、三丁目,,35.647501,139.830315,03-5569-8672,,,,月火水木金土日,0:00,0:00,,緑豊かな散策路の西側、潮風を感じる海沿いの東側とに分かれています。,,http://www.tptc.co.jp/park/03_03,,136-0081,JR京葉線・有楽町線・りんかい線「新木場駅」下車徒歩3分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000030,東京都,,新木場緑道公園,シンキバリョクドウコウエン,,1003a,東京都江東区新木場四丁目,,35.640426,139.840441,03-5569-8672,,,,月火水木金土日,0:00,0:00,,隣接するヘリポート、そしてはるか対岸に葛西・浦安が一望できます。,,http://www.tptc.co.jp/park/03_05,,136-0082 ,JR京葉線・有楽町線・りんかい線「新木場駅」下車徒歩15分／都バス東西線「東陽町駅」またはJR京葉線「新木場駅」から木11系統「東京へリポート」下車すぐ,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000031,東京都,,辰巳の森海浜公園,タツミノモリカイヒンコウエン,,1003a,東京都江東区辰巳二丁目１番35号,,35.648542,139.815785,03-5569-8672,,,,月火水木金土日,0:00,0:00,,辰巳の森緑道公園と隣接した豊かな緑につつまれた公園で、各種ニュースポーツ施設は、子どもから大人まで手軽に安心してご利用いただけます。,,http://www.tptc.co.jp/park/03_01,,135-0053,有楽町線「辰巳駅」（出口2）下車徒歩7分／JR京葉線「新木場駅」下車徒歩17分,1,有料,0,,一部有料施設あり,0,,0,,,,,2019-03-28
130001,0000000032,東京都,,東京港野鳥公園,トウキョウコウヤチョウコウエン,,1003a,東京都大田区東海三丁目１番,,35.583094,139.758329,03-3799-5031,,,,月火水木金土日,0:00,0:00,,公園全てが野鳥の生息地です。初夏には巣作り・子育て、春・秋には長い渡りの中継地、冬は冬越しと鳥たちが安心して暮らせる場所です。そっと観察してください。また、公園の自然に親しみ、学ぶことができる様々な行事を行っています。東京港野鳥公園は「東アジア・オーストラリア地域フライウェイ・パートナーシップ」に基づく重要生息地ネットワークの参加湿地です。,,http://www.wildbirdpark.jp/,,143-0001,モノレール「流通センター」下車徒歩15分／京急バスJR「大森駅」東口または京急「平和島駅」から森24、25、32、36、43、45系統「東京港野鳥公園」または「野鳥公園」下車,1,無料,0,,一部有料施設あり,0,,0,,,,,2019-03-28
130001,0000000033,東京都,,大井ふ頭中央海浜公園,オオイフトウチュウオウカイヒンコウエン,,1003a,東京都品川区八潮四丁目１番19号,,35.594776,139.753229,03-3790-2378,,,,月火水木金土日,0:00,0:00,,各種スポーツ施設の整った公園です。第三種公認陸上競技場では、個人利用ができる日もあります。,,http://seaside-park.jp/park_ooisports/,,140-0003,モノレール「大井競馬場前」下車徒歩7分／都バスJR「品川駅」東口から品91系統またはJR「大井町駅」東口から井92系統で「八潮南」下車徒歩5分／京急バスJR「大森駅」東口または京急「大森海岸駅」から森22系統「中央公園」下車徒歩3分,1,有料,0,,,0,,0,,,,,2019-03-28
130001,0000000034,東京都,,若洲海浜公園,ワカスカイヒンコウエン,,1003a,東京都江東区若洲三丁目１番２号,,35.621656,139.834664,03-3522-3225,,,,月火水木金土日,0:00,0:00,,三方を海に囲まれた公園です。緑の丘の連なりを思わせるゴルフ場があり、海釣り施設や人工磯では釣りも楽しめます。,,http://wakasu.golftk.com/,,136-0083,都バスJR京葉線、有楽町線、りんかい線「新木場駅」から木11系統若洲キャンプ場行きに乗りゴルフリンクス、ヨット訓練所へは「若洲ゴルフリンクス」下車、海釣り施設へは「若洲キャンプ場前」下車／首都高湾岸線新木場ランプより東京へリポート方面へ約5分：ゴルフ場・ヨット訓練所、約8分：海釣り施設,1,有料,0,,一部有料施設あり,0,,0,,,,,2019-03-28
130001,0000000035,東京都,,城南島海浜公園,ジョウナンジマカイヒンコウエン,,1003a,東京都大田区城南島四丁目２番２号,,35.578304,139.783422,03-3799-6402,,,,月火水木金土日,0:00,0:00,,キャンプ場・ドッグラン・砂浜にボードウォークと、東京にいながらリゾート気分。東京港に出入りする船や羽田空港に離着陸する飛行機も間近に見られます。,,http://seaside-park.jp/park_jonan/,,143-0002,京急バスJR「大森駅」東口、「平和島駅」、東京モノレール「流通センター」前から森32系統（城南島循環）「城南島四丁目」下車徒歩3分,1,有料,0,,一部有料施設あり,0,,0,,,,,2019-03-28
130001,0000000036,東京都,,品川北ふ頭公園,シナガワキタフトウコウエン,,1003a,東京都港区港南五丁目,,35.628471,139.73876,03-3790-2378,,,,月火水木金土日,0:00,0:00,,野球広場があります。,,http://seaside-park.jp/otherpark/,,108-0075,都バスJR「品川駅」東口から品93系統（品川埠頭循環）「港南大橋」下車徒歩2分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000037,東京都,,コンテナふ頭公園,コンテナフトウコウエン,,1003a,東京都品川区八潮二丁目,,35.596416,139.762908,03-3790-2378,,,,月火水木金土日,0:00,0:00,,,,http://seaside-park.jp/otherpark/,,140-0003,都バスJR「品川駅」東口から品98甲・乙系統「３号バース前」下車徒歩3分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000038,東京都,,城南島ふ頭公園,ジョウナンジマフトウコウエン,,1003a,東京都大田区城南島二丁目,,35.578915,139.772772,03-3790-2378,,,,月火水木金土日,0:00,0:00,,芝生の上絵で軽い運動ができます。遊戯施設があります。,,http://seaside-park.jp/otherpark/,,143-0002,京急バスJR「大森駅」東口、京急「平和島駅」などから森32系統「建材埠頭」下車,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000039,東京都,,京浜島ふ頭公園,ケイヒンジマフトウコウエン,,1003a,東京都大田区京浜島二丁目,,35.57175,139.760513,03-3790-2378,,,,月火水木金土日,0:00,0:00,,京浜大橋を渡ってすぐの芝生が広がる公園です。,,http://seaside-park.jp/otherpark/,,143-0003,京急バスJR「大森駅」東口、京急「大森海岸駅」「平和島駅」から森24、36系統「京浜島二番地」下車徒歩2分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000040,東京都,,みなとが丘ふ頭公園,ミナトガオカフトウコウエン,,1003a,東京都品川区八潮三丁目,,35.596471,139.762922,03-3790-2378,,,,月火水木金土日,0:00,0:00,,名前のとおり港の背後に小高い丘を中心とした公園です。木々に囲まれ散策やピクニックができます。,,http://seaside-park.jp/otherpark/,,140-0003,都バスJR「品川駅」東口から品98甲・乙系統「東京税関大井出張所」下車徒歩3分,1,無料,0,,,0,,0,,,,,2019-03-28
130001,0000000041,東京都,,東海ふ頭公園,トウカイフトウコウエン,,1003a,東京都大田区東海二丁目,,35.57775,139.756327,03-3790-2378,,,,月火水木金土日,0:00,0:00,,砂を固めてつくった広場が特徴の公園。対岸に京浜島を望む海に面した傾斜護岸で、水に親しめます。,,http://seaside-park.jp/otherpark/,,143-0001,京急バスJR「大森駅」東口、京急「大森海岸駅」「平和島駅」から森24系統（京浜島循環）森32系統（城南島循環）「京浜大橋」下車徒歩3分,1,無料,0,,,0,,0,,,,,2019-03-28
130001,0000000042,東京都,,京浜島つばさ公園,ケイヒンジマツバサコウエン,,1003a,東京都大田区京浜島二丁目,,35.571013,139.770478,03-3790-2378,,,,月火水木金土日,0:00,0:00,,羽田空港の向かいにある約1kmの海岸線に面する公園です。離着陸する飛行機を眺めて、旅情に思いをはせてはいかがでしょうか。,,http://seaside-park.jp/otherpark/,,143-0003,京急バスJR「大森駅」東口、京急「大森海岸駅」「平和島駅」から森24、36系統「京浜島海上公園」下車すぐ,1,無料,0,,,0,,0,,,,,2019-03-28
130001,0000000043,東京都,,芝浦南ふ頭公園,シバウラミナミフトウコウエン,,1003a,東京都港区海岸三丁目,,35.637118,139.759962,03-3452-4151,,,,月火水木金土日,8:00,21:00,,開園時間8:00～21:00。運動広場があります。,,http://seaside-park.jp/otherpark/,,105-0022 ,新交通ゆりかもめ「芝浦ふ頭駅」下車徒歩8分／都バス田99系統「芝浦埠頭」で社徒歩5分,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000044,東京都,,京浜運河緑道公園,ケイヒンウンガリョクドウコウエン,,1003a,東京都品川区八潮一丁目・五丁目,,35.596784,139.748901,03-3790-2378,,,,月火水木金土日,0:00,0:00,,延長約2.5kmの緑道公園です。大井の競馬場や海浜公園の行き帰りに、一駅分お散歩できます。,,http://seaside-park.jp/otherpark/,,140-0003,モノレール「大井競馬場前駅」下車徒歩4分／都バスJR「品川駅」東口から、品91系統「品川総合福祉センター」下車など,0,,0,,,0,,0,,,,,2019-03-28
130001,0000000045,東京都,,大井ふ頭緑道公園,オオイフトウリョクドウコウエン,,1003a,東京都品川区八潮四丁目・五丁目,,35.59655,139.754552,03-3790-2378,,,,月火水木金土日,0:00,0:00,,自然観察を楽しみながらのんびりと散歩ができます。,,http://seaside-park.jp/otherpark/,,140-0003,都バスJR「品川駅」東口から品91系統「八潮東」下車など,0,,0,,,0,,0,,,,,2019-03-28
