樹種,区分,樹高(m),枝張(m),幹周(cm）,行政区,種別,整理番号,路線名,通称道路名,経度,緯度
サワラ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750158,35.625434
クスノキ,高木,10,7,105,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749781,35.625531
クスノキ,高木,8,6,108,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750118,35.625462
ソヨゴ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749782,35.62555
シマトネリコ,高木,5.5,3,53,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.75016,35.625464
アオギリ,高木,4.5,1,27,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.74469,35.626859
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.75012,35.625476
マサキ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749783,35.625565
クスノキ,高木,11.5,8,126,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749785,35.62558
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750121,35.625495
サワラ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750163,35.625488
クスノキ,高木,10,6,87,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750122,35.625515
ソヨゴ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749785,35.625603
シマトネリコ,高木,5.5,3,43,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750165,35.62551
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744919,35.626858
マサキ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749786,35.625619
ニオイヒバ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750167,35.625533
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750123,35.625545
アオギリ,高木,5.5,1.5,69,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744682,35.626933
クスノキ,高木,10,7,109,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749788,35.625638
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750125,35.625559
アオギリ,高木,5,1,29,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744915,35.62689
シマトネリコ,高木,5.5,3,49,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750169,35.625554
クスノキ,高木,8,6,103,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750127,35.625569
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750128,35.62558
ニオイヒバ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750171,35.625583
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750131,35.625604
クスノキ,高木,10.5,7,105,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749793,35.625691
アオギリ,高木,5,1.5,78,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744673,35.626999
シマトネリコ,高木,5.5,3,44,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750174,35.625602
クスノキ,高木,10,8,101,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750131,35.625614
マサキ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749796,35.625712
ネズミサシ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750175,35.625623
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750133,35.625638
ソヨゴ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749796,35.625724
シマトネリコ,高木,5.5,3,40,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750175,35.625646
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750134,35.625657
クスノキ,高木,4.5,3,27,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749799,35.625743
クスノキ,高木,10,8,123,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750135,35.625668
アオギリ,高木,5,1.5,67,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744669,35.627067
ソヨゴ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749799,35.62576
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.75018,35.625669
マサキ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749801,35.62578
アオギリ,高木,5,1,73,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744897,35.627031
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750137,35.625697
シマトネリコ,高木,5.5,3,34,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750181,35.625692
クスノキ,高木,8.5,6,101,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749802,35.625797
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750138,35.625712
ネズミサシ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750183,35.625716
ソヨゴ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749804,35.625814
クスノキ,高木,9.5,6,125,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750142,35.62573
アオギリ,高木,6,1,38,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744895,35.627083
マサキ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749804,35.625833
シマトネリコ,高木,5.5,3,41,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750185,35.625738
アオギリ,高木,5.5,1.5,86,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744668,35.627156
クスノキ,高木,10.5,6,109,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749807,35.625855
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744893,35.627109
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750186,35.625761
ソヨゴ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749808,35.625877
アオギリ,高木,6,2,63,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744894,35.627134
シマトネリコ,高木,5.5,3,42,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750189,35.625786
ヤマモモ,高木,6,3.5,65,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750148,35.625801
マサキ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.74981,35.625898
トキワマンサク,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744893,35.627154
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750192,35.625806
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744895,35.62717
アオギリ,高木,6.5,2.5,75,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744673,35.627227
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750149,35.625838
ヤマモモ,高木,5.5,3.5,89,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749813,35.625925
シマトネリコ,高木,5,3,40,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750192,35.62583
アオギリ,高木,5.5,1,29,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744895,35.627189
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750194,35.625853
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744899,35.627211
ヤマモモ,高木,4,4,85,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750153,35.625874
シマトネリコ,高木,4,2,19,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750196,35.625878
アオギリ,高木,5,1.5,25,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744679,35.627294
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744902,35.627239
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750154,35.625905
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750198,35.625899
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750156,35.625919
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744903,35.627259
シマトネリコ,高木,4,2,26,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750199,35.625921
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750158,35.625932
アオギリ,高木,6,1,71,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744905,35.627282
ヤマモモ,高木,6,5,83,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750158,35.625954
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750203,35.625944
アオギリ,高木,5.5,2,39,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744684,35.627351
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744906,35.627302
トウカエデ,高木,8.5,4,112,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749825,35.626063
アオギリ,高木,4.5,2.5,35,港区,特例都道,480,品川埠頭線,,139.755898,35.624516
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744907,35.627319
シマトネリコ,高木,4.5,2,29,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750204,35.62597
ネズミサシ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750204,35.625982
ソヨゴ,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749826,35.626083
マサキ,中木,2,,,港区,特例都道,480,品川埠頭線,,139.755894,35.624546
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744911,35.62736
トウカエデ,高木,6.5,6,71,港区,特例都道,480,品川埠頭線,,139.756079,35.624522
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744915,35.627379
トウカエデ,高木,9,3,110,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.74983,35.62613
マサキ,中木,2,,,港区,特例都道,480,品川埠頭線,,139.755895,35.624584
キンモクセイ,中木,2.5,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750168,35.626057
シマトネリコ,高木,4.5,2.5,29,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.75021,35.626062
トウカエデ,高木,8.5,2.5,118,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749832,35.62616
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744919,35.627415
トウカエデ,高木,7,6,95,港区,特例都道,480,品川埠頭線,,139.756078,35.624577
マサキ,中木,2,,,港区,特例都道,480,品川埠頭線,,139.756258,35.624534
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744923,35.627442
ヤマモモ,高木,4.5,2,59,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749835,35.626191
シマトネリコ,高木,4.5,2.5,27,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750215,35.626106
アオギリ,高木,5,1.5,24,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744701,35.627512
トウカエデ,高木,7.5,6.5,93,港区,特例都道,480,品川埠頭線,,139.756076,35.624621
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744926,35.627472
トウカエデ,高木,11.5,6,112,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750174,35.626141
キンモクセイ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.750177,35.626152
